# 性能日志 - 比特币密钥碰撞检测
# 创建时间: 2026-04-21T01:52:20.479782
# 格式: timestamp,speed,total_checked,matches,cpu_usage,memory_usage,threads
1776708448.8318193,2215.8073771422805,1000,0,93.2,241.52734375,5
1776708449.723781,2862.3652861338896,1000,0,109.0,242.53125,5
1776708450.5578218,2916.0341750564357,1000,0,93.2,240.6953125,5
1776708451.3109124,3098.9333319541593,1000,0,93.3,142.046875,3
1776708452.1688824,2723.3123050512027,1000,0,93.2,235.08203125,5
1776708453.2473302,2262.6355041875145,1000,0,93.6,235.78515625,5
1776708454.0183618,2215.8073771422805,1000,0,93.6,241.52734375,5
1776708454.9331744,2862.3652861338896,1000,0,93.5,242.53125,5
1776708455.765925,2916.0341750564357,1000,0,93.5,240.6953125,5
1776708456.516121,3098.9333319541593,1000,0,108.9,142.046875,3
1776708457.3699021,2723.3123050512027,1000,0,93.6,235.08203125,5
1776708458.4424443,2262.6355041875145,1000,0,109.1,235.78515625,5
1776708459.2270508,2215.8073771422805,1000,0,109.3,241.52734375,5
1776708460.147031,2862.3652861338896,1000,0,108.7,242.53125,5
1776708460.968302,2916.0341750564357,1000,0,93.5,240.6953125,5
1776708461.712369,3098.9333319541593,1000,0,93.6,142.046875,3
1776708462.5697055,2723.3123050512027,1000,0,109.3,235.08203125,5
1776708463.6489675,2262.6355041875145,1000,0,93.3,235.78515625,5
1776708464.4350731,2215.8073771422805,1000,0,93.2,241.52734375,5
1776708465.352177,2862.3652861338896,1000,0,93.4,242.53125,5
1776708466.2133064,2916.0341750564357,1000,0,93.6,240.6953125,5
1776708466.9853706,3098.9333319541593,1000,0,67.9,142.046875,3
1776708467.778824,2723.3123050512027,1000,0,93.2,235.08203125,5
1776708468.85383,2262.6355041875145,1000,0,77.8,235.78515625,5
1776708469.693247,2215.8073771422805,1000,0,108.9,241.52734375,5
1776708470.55733,2862.3652861338896,1000,0,93.2,242.53125,5
1776708471.4698446,2916.0341750564357,1000,0,109.0,240.6953125,5
1776708472.206624,3098.9333319541593,1000,0,109.1,142.046875,3
1776708473.0754783,2723.3123050512027,1000,0,109.3,235.08203125,5
1776708474.0605743,2262.6355041875145,1000,0,108.7,235.78515625,5
1776708474.8857207,2215.8073771422805,1000,0,93.4,241.52734375,5
1776708475.756186,2862.3652861338896,1000,0,93.5,242.53125,5
1776708476.6555426,2916.0341750564357,1000,0,93.3,240.6953125,5
1776708477.4150772,3098.9333319541593,1000,0,93.2,142.046875,3
1776708478.2700653,2723.3123050512027,1000,0,93.6,235.08203125,5
1776708479.2423482,2262.6355041875145,1000,0,109.1,235.78515625,5
1776708480.071845,2215.8073771422805,1000,0,109.3,241.52734375,5
1776708480.9403148,2862.3652861338896,1000,0,77.9,242.53125,5
1776708481.8469918,2916.0341750564357,1000,0,93.5,240.6953125,5
1776708482.594328,3098.9333319541593,1000,0,78.0,142.046875,3
1776708483.4636416,2723.3123050512027,1000,0,93.6,235.08203125,5
1776708484.4268303,2262.6355041875145,1000,0,93.5,235.78515625,5
1776708485.279634,2215.8073771422805,1000,0,93.6,241.52734375,5
1776708486.1479194,2862.3652861338896,1000,0,93.5,242.53125,5
1776708487.037951,2916.0341750564357,1000,0,109.0,240.6953125,5
1776708487.7867537,3098.9333319541593,1000,0,108.0,142.046875,3
1776708488.661421,2723.3123050512027,1000,0,109.2,235.08203125,5
1776708489.6298828,2262.6355041875145,1000,0,109.0,235.78515625,5
1776708490.5073757,2215.8073771422805,1000,0,93.2,241.52734375,5
1776708491.3544579,2862.3652861338896,1000,0,93.2,242.53125,5
1776708492.3778107,2916.0341750564357,1000,0,93.6,240.6953125,5
1776708492.9998856,3098.9333319541593,1000,0,109.0,142.05078125,3
1776708493.8715775,2723.3123050512027,1000,0,93.4,235.08203125,5
1776708494.831789,2262.6355041875145,1000,0,109.2,235.78515625,5
1776708495.7064953,2215.8073771422805,1000,0,93.5,241.52734375,5
1776708496.5393803,2862.3652861338896,1000,0,108.8,242.53125,5
1776708497.5732152,2916.0341750564357,1000,0,93.4,240.6953125,5
1776708498.2078383,3098.9333319541593,1000,0,93.5,142.0625,3
1776708499.0860171,2723.3123050512027,1000,0,93.3,235.08203125,5
1776708500.0230136,2262.6355041875145,1000,0,108.9,235.78515625,5
1776708500.8956835,2215.8073771422805,1000,0,109.1,241.52734375,5
1776708501.7344644,2862.3652861338896,1000,0,108.7,242.53125,5
1776708502.7643545,2916.0341750564357,1000,0,108.9,240.6953125,5
1776708503.4043765,3098.9333319541593,1000,0,93.3,142.06640625,3
1776708504.2747152,2723.3123050512027,1000,0,109.0,235.08203125,5
1776708505.2159696,2262.6355041875145,1000,0,108.9,235.78515625,5
1776708506.0810564,2215.8073771422805,1000,0,93.6,241.52734375,5
1776708506.9339492,2862.3652861338896,1000,0,93.3,242.53125,5
1776708507.9570067,2916.0341750564357,1000,0,108.9,240.6953125,5
1776708508.5896149,3098.9333319541593,1000,0,109.0,142.0703125,3
1776708509.4590912,2723.3123050512027,1000,0,108.9,235.08203125,5
1776708510.4075575,2262.6355041875145,1000,0,109.1,235.78515625,5
1776708511.270592,2215.8073771422805,1000,0,108.9,241.52734375,5
1776708512.1296935,2862.3652861338896,1000,0,108.8,242.53125,5
1776708513.1487381,2916.0341750564357,1000,0,77.9,240.6953125,5
1776708513.7777576,3098.9333319541593,1000,0,109.2,142.0703125,3
1776708514.6463382,2723.3123050512027,1000,0,93.6,235.08203125,5
1776708515.5849693,2262.6355041875145,1000,0,109.1,235.78515625,5
1776708516.5623255,2215.8073771422805,1000,0,53.8,241.52734375,5
1776708517.3314593,2862.3652861338896,1000,0,93.2,242.53125,5
1776708518.344358,2916.0341750564357,1000,0,108.6,240.6953125,5
1776708518.9784095,3098.9333319541593,1000,0,93.4,142.09375,3
1776708519.8476417,2723.3123050512027,1000,0,109.0,235.08203125,5
1776708520.7831068,2262.6355041875145,1000,0,108.8,235.78515625,5
1776708521.7880142,2215.8073771422805,1000,0,93.3,241.52734375,5
1776708522.5309908,2862.3652861338896,1000,0,93.2,242.53125,5
1776708523.5546029,2916.0341750564357,1000,0,93.6,240.6953125,5
1776708524.2343194,3098.9333319541593,1000,0,109.0,142.09375,3
