# 性能日志 - 比特币密钥碰撞检测
# 创建时间: 2026-04-22T03:26:43.425500
# 格式: timestamp,speed,total_checked,matches,cpu_usage,memory_usage,threads
1776802511.3297665,0.0,0,0,98.0,215.8671875,28
1776802515.4021118,0.0,0,0,99.8,215.8671875,28
1776802516.7203124,0.0,0,0,98.5,215.875,28
1776802521.77612,0.0,0,0,89.6,215.875,28
1776802522.5076194,0.0,0,0,108.6,215.875,28
1776802527.616236,0.0,0,0,101.0,215.90625,29
1776802528.354114,0.0,0,0,109.1,306.86328125,35
1776802528.341191,0.0,0,0,99.2,215.90625,29
1776802529.6960778,0.0,0,0,99.6,307.453125,45
1776802533.4974082,0.0,0,0,105.3,215.96875,29
1776802534.9729288,0.0,0,0,98.5,307.453125,45
1776802535.4434645,0.0,0,0,99.7,215.96875,29
1776802535.816229,0.0,0,0,108.8,307.45703125,45
1776802538.5456955,0.0,0,0,110.5,216.0,29
1776802542.013116,0.0,0,0,99.5,307.47265625,45
1776802542.272309,0.0,0,0,92.1,307.47265625,45
1776802543.748786,0.0,0,0,107.0,216.0,29
1776802543.9779654,0.0,0,0,88.4,216.0,29
1776802547.3273947,0.0,0,0,98.5,307.48046875,45
1776802548.5897913,0.0,0,0,120.8,307.48046875,45
1776802550.3716562,0.0,0,0,101.4,216.00390625,29
1776802550.622359,0.0,0,0,93.4,216.00390625,29
1776802552.578615,0.0,0,0,87.4,307.47265625,45
1776802555.8528438,0.0,0,0,75.9,307.40625,42
1776802556.459446,0.0,0,0,98.6,216.00390625,29
1776802557.0818632,0.0,0,0,105.5,216.00390625,29
1776802558.5184028,0.0,0,0,81.4,307.43359375,42
1776802562.6078918,0.0,0,0,141.3,216.00390625,29
1776802562.5327091,0.0,0,0,105.6,307.43359375,42
1776802563.5491624,0.0,0,0,99.4,216.00390625,29
1776802563.689965,0.0,0,0,84.1,307.43359375,42
1776802568.1474605,0.0,0,0,91.7,216.00390625,29
1776802569.104952,0.0,0,0,100.3,307.43359375,42
1776802569.4426923,0.0,0,0,98.9,307.43359375,42
1776802570.2286794,0.0,0,0,99.0,216.00390625,29
1776802573.6543572,0.0,0,0,92.3,216.00390625,29
1776802575.211291,0.0,0,0,92.1,307.43359375,42
1776802576.6346066,0.0,0,0,98.7,307.4375,42
1776802577.5101323,0.0,0,0,96.7,216.00390625,29
1776802580.5107448,0.0,0,0,91.6,307.375,39
1776802580.6904435,0.0,0,0,95.4,216.00390625,29
1776802582.85889,0.0,0,0,105.4,307.375,39
1776802584.355318,0.0,0,0,100.2,216.00390625,29
1776802585.5327349,0.0,0,0,105.4,307.37890625,39
1776802586.0827134,0.0,0,0,83.3,216.00390625,29
1776802589.1880164,0.0,0,0,105.4,307.37890625,39
1776802591.0208635,0.0,0,0,125.5,216.00390625,29
1776802591.485202,0.0,0,0,88.3,307.37890625,39
1776802591.770587,0.0,0,0,91.8,216.00390625,29
1776802595.950346,0.0,0,0,98.2,307.3828125,39
1776802597.0942554,0.0,0,0,93.3,216.015625,29
1776802597.5776732,0.0,0,0,101.6,307.38671875,39
1776802597.9536774,0.0,0,0,103.8,216.015625,29
1776802602.188698,0.0,0,0,97.6,216.015625,29
1776802608.1068122,0.0,0,0,100.7,307.96875,39
1776802608.9286687,0.0,0,0,113.1,307.96875,39
1776802614.2436512,0.0,0,0,98.7,307.984375,39
1776802615.1543229,0.0,0,0,103.5,307.984375,39
1776802619.5408068,0.0,0,0,90.1,308.1171875,39
1776802620.902577,0.0,0,0,100.8,308.12109375,39
1776802626.2338028,0.0,0,0,99.1,308.1328125,39
1776802627.0668826,0.0,0,0,98.8,308.1328125,39
1776802923.221754,0.0,0,0,99.4,60.43359375,14
1776802924.0459886,0.0,0,0,117.9,60.98046875,22
1776802929.4635117,0.0,0,0,93.6,61.06640625,22
1776802930.2865975,0.0,0,0,107.5,61.06640625,22
1776802934.8712506,0.0,0,0,101.6,61.1015625,22
1776802936.682237,0.0,0,0,104.6,61.10546875,22
1776802939.8262842,0.0,0,0,104.4,61.10546875,22
1776802943.5139306,0.0,0,0,105.5,61.10546875,22
1776802945.2209766,0.0,0,0,101.5,61.10546875,22
1776802950.4083233,0.0,0,0,92.3,61.1328125,22
1776802950.8433876,0.0,0,0,102.8,61.1328125,22
1776802955.8611586,0.0,0,0,96.6,61.203125,24
1776802957.5418494,0.0,0,0,134.7,61.203125,24
1776802961.0672023,0.0,0,0,111.2,61.203125,24
1776802964.470315,0.0,0,0,98.9,61.203125,24
1776802966.425453,0.0,0,0,92.1,61.203125,24
1776802970.709963,0.0,0,0,111.4,61.203125,24
1776802971.626584,0.0,0,0,97.7,61.203125,24
1776802976.704248,0.0,0,0,97.1,61.203125,24
1776802977.019502,0.0,0,0,107.9,61.203125,24
1776802982.0002618,0.0,0,0,98.5,61.20703125,24
1776802983.3527198,0.0,0,0,82.1,61.14453125,21
1776802987.4470036,0.0,0,0,92.9,61.15234375,21
1776802990.6572037,0.0,0,0,96.9,61.15234375,21
1776802993.0174646,0.0,0,0,108.5,61.15625,21
1776802997.756725,0.0,0,0,91.3,61.15625,21
1776802998.1882982,0.0,0,0,156.3,61.15625,21
1776803003.3109386,0.0,0,0,91.9,61.171875,21
1776803004.7478197,0.0,0,0,102.9,61.171875,21
1776803008.4667373,0.0,0,0,101.1,61.18359375,21
1776803012.0139017,0.0,0,0,89.1,61.1875,21
1776803013.8968391,0.0,0,0,101.2,61.1953125,21
1776803018.1953876,0.0,0,0,106.8,61.203125,21
1776803018.9424446,0.0,0,0,97.2,61.203125,21
1776803024.2902968,0.0,0,0,86.9,61.2109375,21
1776803024.910311,0.0,0,0,104.2,61.2109375,21
1776803029.8069413,0.0,0,0,99.3,61.21875,21
1776803031.5347908,0.0,0,0,102.1,61.2265625,21
1776803035.251828,0.0,0,0,100.8,61.2265625,21
1776803038.5603225,0.0,0,0,110.7,61.2265625,21
1776803040.3893318,0.0,0,0,92.7,61.2421875,21
1776803045.0796776,0.0,0,0,100.4,61.2421875,21
1776803045.7973099,0.0,0,0,107.7,61.2421875,21
1776803050.9749322,0.0,0,0,99.8,61.24609375,21
1776803051.9140131,0.0,0,0,105.1,61.24609375,21
1776803056.4079795,0.0,0,0,93.2,61.265625,21
1776803058.171938,0.0,0,0,101.5,61.24609375,19
1776803061.6409483,0.0,0,0,101.2,61.2578125,19
1776803064.7857072,0.0,0,0,105.0,61.265625,19
1776803067.192845,0.0,0,0,96.8,61.26953125,19
1776803070.9992332,0.0,0,0,107.8,61.26953125,19
1776803072.2615156,0.0,0,0,98.7,61.26953125,19
1776803077.6412563,0.0,0,0,104.8,61.28125,19
1776803077.4863186,0.0,0,0,103.6,61.28125,19
1776803082.5468302,0.0,0,0,95.2,61.3046875,19
1776803084.3127422,0.0,0,0,98.4,61.3046875,19
1776803087.9926734,0.0,0,0,107.4,61.390625,19
1776803090.527397,0.0,0,0,108.9,61.390625,19
1776803093.5930367,0.0,0,0,88.0,61.4296875,19
1776803096.8449645,0.0,0,0,106.2,61.43359375,19
1776803099.1132765,0.0,0,0,91.6,61.49609375,19
1776803103.5509205,0.0,0,0,98.1,61.49609375,19
1776803104.3507113,0.0,0,0,88.0,61.49609375,19
1776803109.7313907,0.0,0,0,104.1,61.50390625,19
1776803110.071822,0.0,0,0,90.8,61.50390625,19
1776803115.0815542,0.0,0,0,104.2,61.5234375,19
1776803115.9892561,0.0,0,0,99.2,61.5234375,19
1776803120.3869977,0.0,0,0,92.8,61.5234375,19
1776803122.9802704,0.0,0,0,97.7,61.5234375,19
1776803125.8938787,0.0,0,0,96.4,61.546875,19
1776803129.5733962,0.0,0,0,96.2,61.55078125,19
1776803131.0797434,0.0,0,0,102.4,61.5546875,19
1776803135.5258257,0.0,0,0,97.8,61.5546875,19
1776803136.4851866,0.0,0,0,96.8,61.56640625,19
1776803141.5751934,0.0,0,0,96.5,61.56640625,19
1776803141.7216396,0.0,0,0,98.2,61.56640625,19
1776803146.8018124,0.0,0,0,87.9,61.5703125,19
1776803147.833319,0.0,0,0,109.9,61.5703125,19
1776803152.0357893,0.0,0,0,101.2,61.5703125,19
1776803154.605264,0.0,0,0,107.2,61.5703125,19
1776803157.4942398,0.0,0,0,97.2,61.57421875,19
1776803161.430495,0.0,0,0,99.8,61.58203125,19
1776803162.9887924,0.0,0,0,98.2,61.59375,19
1776803167.8114078,0.0,0,0,102.0,61.59765625,19
1776803168.0051782,0.0,0,0,103.2,61.59765625,19
1776803173.5024452,0.0,0,0,99.4,61.609375,19
1776803174.2888274,0.0,0,0,109.2,61.609375,19
1776803178.493811,0.0,0,0,109.7,61.6875,19
1776803180.555251,0.0,0,0,120.3,61.6875,19
